,formula,T,Cp
14,Be1I2,1400.0,89.34100000000002
15,Be1I2,1300.0,89.115
16,Be1I2,1200.0,88.78
17,Be1I2,1100.0,88.337
18,Be1I2,1000.0,87.789
19,Be1I2,900.0,87.132
20,Be1I2,800.0,86.366
21,Be1I2,753.0,85.944
22,Be1I2,600.0,84.19
23,Be1I2,500.0,81.638
24,Be1I2,400.0,76.868
25,Be1I2,300.0,69.128
26,Be1I2,298.0,68.961
27,Be1F3Li1,1100.0,192.46400000000003
28,Be1F3Li1,1000.0,179.912
29,Be1F3Li1,900.0,167.36
30,Be1F3Li1,800.0,154.808
31,Be1F3Li1,700.0,142.256
32,Be1F3Li1,650.0,135.98
33,Be1F3Li1,600.0,129.704
34,Be1F3Li1,500.0,117.152
35,Be1F3Li1,400.0,104.6
36,Be1F3Li1,300.0,92.048
37,Be1F3Li1,298.0,91.816
38,Al1Cl4K1,900.0,199.995
39,Al1Cl4K1,800.0,196.648
40,Al1Cl4K1,700.0,190.79
41,Al1Cl4K1,600.0,183.176
42,Al1Cl4K1,500.0,174.305
43,Al1Cl4K1,400.0,165.477
44,Al1Cl4K1,300.0,156.649
45,Al1Cl4K1,298.0,156.482
46,Al2Be1O4,2300.0,248.548
47,Al2Be1O4,2200.0,233.098
48,Al2Be1O4,2146.0,226.25
49,Al2Be1O4,2100.0,220.19
50,Al2Be1O4,2000.0,209.49
51,Al2Be1O4,1900.0,201.57
52,Al2Be1O4,1800.0,195.79
53,Al2Be1O4,1700.0,191.56
54,Al2Be1O4,1600.0,188.41
55,Al2Be1O4,1500.0,185.91
56,Al2Be1O4,1400.0,183.75
57,Al2Be1O4,1300.0,181.67
58,Al2Be1O4,1200.0,179.48
59,Al2Be1O4,1100.0,177.03
60,Al2Be1O4,1000.0,174.2
61,Al2Be1O4,900.0,170.87
62,Al2Be1O4,800.0,166.83
63,Al2Be1O4,700.0,161.75
64,Al2Be1O4,600.0,154.97
65,Al2Be1O4,500.0,145.25
66,Al2Be1O4,400.0,130.28
67,Al2Be1O4,300.0,105.94
68,Al2Be1O4,298.0,105.38
82,B2Mg1,1900.0,92.242
83,B2Mg1,1800.0,90.249
84,B2Mg1,1700.0,88.162
85,B2Mg1,1600.0,85.98100000000002
86,B2Mg1,1500.0,83.64299999999999
87,B2Mg1,1400.0,81.17
88,B2Mg1,1300.0,78.795
89,B2Mg1,1200.0,76.442
90,B2Mg1,1100.0,74.078
91,B2Mg1,1000.0,71.714
92,B2Mg1,900.0,69.16199999999999
93,B2Mg1,800.0,66.52600000000001
94,B2Mg1,700.0,64.015
95,B2Mg1,600.0,61.379
96,B2Mg1,500.0,58.409
97,B2Mg1,400.0,54.392
98,B2Mg1,300.0,47.865
99,B2Mg1,298.0,47.823
100,Be1F2,1200.0,87.529
101,Be1F2,1100.0,84.182
102,Be1F2,1000.0,80.835
103,Be1F2,900.0,77.488
104,Be1F2,825.0,74.977
105,Be1F2,800.0,74.14
106,Be1F2,700.0,70.793
107,Be1F2,600.0,67.446
108,Be1F2,500.0,76.048
109,Be1F2,500.0,64.09899999999999
110,Be1F2,400.0,62.522
111,Be1F2,300.0,52.028
112,Be1F2,298.0,51.819
113,B1H4Na1,1900.0,133.679
114,B1H4Na1,1800.0,133.553
115,B1H4Na1,1700.0,133.511
116,B1H4Na1,1600.0,133.428
117,B1H4Na1,1500.0,133.30200000000002
118,B1H4Na1,1400.0,133.135
119,B1H4Na1,1300.0,132.675
120,B1H4Na1,1200.0,131.754
121,B1H4Na1,1100.0,130.039
122,B1H4Na1,1000.0,127.445
123,B1H4Na1,900.0,124.265
124,B1H4Na1,800.0,120.248
125,B1H4Na1,700.0,115.269
126,B1H4Na1,600.0,108.617
127,B1H4Na1,500.0,101.797
128,B1H4Na1,400.0,94.558
129,B1H4Na1,300.0,86.64200000000002
130,B1H4Na1,298.0,86.48299999999998
131,Br2Ca1,1400.0,103.387
132,Br2Ca1,1300.0,99.412
133,Br2Ca1,1200.0,95.563
134,Br2Ca1,1100.0,91.922
135,Br2Ca1,1015.0,89.036
136,Br2Ca1,1000.0,88.617
137,Br2Ca1,900.0,85.85600000000002
138,Br2Ca1,800.0,83.471
139,Br2Ca1,700.0,81.63
140,Br2Ca1,600.0,80.5
141,Br2Ca1,500.0,79.454
142,Br2Ca1,400.0,77.99
143,Br2Ca1,300.0,75.124
144,Br2Ca1,298.0,75.04
191,Ba1H2O2,900.0,134.892
192,Ba1H2O2,800.0,130.834
193,Ba1H2O2,700.0,126.775
194,Ba1H2O2,681.15,126.022
195,Ba1H2O2,600.0,122.717
196,Ba1H2O2,500.0,118.658
197,Ba1H2O2,400.0,112.633
198,Ba1H2O2,300.0,101.797
199,Ba1H2O2,298.0,101.629
214,Br3Zr1,1900.0,106.566
215,Br3Zr1,1800.0,106.525
216,Br3Zr1,1700.0,106.483
217,Br3Zr1,1600.0,106.441
218,Br3Zr1,1500.0,106.399
219,Br3Zr1,1400.0,106.357
220,Br3Zr1,1300.0,106.315
221,Br3Zr1,1200.0,106.232
222,Br3Zr1,1100.0,106.148
223,Br3Zr1,1000.0,106.064
224,Br3Zr1,900.0,105.855
225,Br3Zr1,800.0,105.437
226,Br3Zr1,700.0,105.018
227,Br3Zr1,600.0,104.6
228,Br3Zr1,500.0,103.763
229,Br3Zr1,400.0,102.508
230,Br3Zr1,300.0,99.562
231,Br3Zr1,298.0,99.483
232,Br2Ti1,1400.0,91.32
233,Br2Ti1,1300.0,90.174
234,Br2Ti1,1200.0,89.027
235,Br2Ti1,1100.0,87.881
236,Br2Ti1,1000.0,86.734
237,Br2Ti1,900.0,85.588
238,Br2Ti1,800.0,84.441
239,Br2Ti1,700.0,83.295
240,Br2Ti1,600.0,82.149
241,Br2Ti1,500.0,81.002
242,Br2Ti1,400.0,79.85600000000002
243,Br2Ti1,300.0,78.709
244,Br2Ti1,298.0,78.688
283,Be2O4Si1,2900.0,194.58900000000003
284,Be2O4Si1,2800.0,193.702
285,Be2O4Si1,2700.0,192.815
286,Be2O4Si1,2600.0,191.928
287,Be2O4Si1,2500.0,191.041
288,Be2O4Si1,2400.0,190.154
289,Be2O4Si1,2300.0,189.267
290,Be2O4Si1,2200.0,188.38
291,Be2O4Si1,2100.0,187.493
292,Be2O4Si1,2000.0,186.606
293,Be2O4Si1,1900.0,185.686
294,Be2O4Si1,1800.0,184.749
295,Be2O4Si1,1700.0,183.803
296,Be2O4Si1,1600.0,182.849
297,Be2O4Si1,1500.0,181.887
298,Be2O4Si1,1400.0,180.916
299,Be2O4Si1,1300.0,179.636
300,Be2O4Si1,1200.0,178.197
301,Be2O4Si1,1100.0,176.356
302,Be2O4Si1,1000.0,174.054
303,Be2O4Si1,900.0,170.74900000000005
304,Be2O4Si1,800.0,166.021
305,Be2O4Si1,700.0,158.866
306,Be2O4Si1,600.0,149.16
307,Be2O4Si1,500.0,136.942
308,Be2O4Si1,400.0,120.75
309,Be2O4Si1,300.0,96.098
310,Be2O4Si1,298.0,95.563
311,Br2Pb1,900.0,101.621
312,Br2Pb1,800.0,97.341
313,Br2Pb1,700.0,93.061
